lon,lat,estacion_gnss_retenida,tipo_relacion_gravedad_gnss,dist_gnss_km,clase_distancia,gravity_anomaly_base_mgal,aire_libre_mgal,bouguer_mgal,gradiente_mgal_km,usar_grilla_regional,usar_resumen_contextual_100km,usar_contexto_regional_150km
-76.46,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,103.6896,regional_100_150km,61.1407132,202.2326332,151.04281893645,5.10060852978917,1,0,1
-76.41,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,98.5192,contextual_50_100km,61.64636937,242.69581737,177.008940221838,5.15903219539068,1,1,1
-76.36,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,93.3895,contextual_50_100km,62.15378558,264.23740958,190.919085056065,8.96219576599433,1,1,1
-76.31,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,88.3076,contextual_50_100km,62.54677786,395.97056186,275.000476726776,14.7080596407821,1,1,1
-76.26,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,83.2822,contextual_50_100km,62.93041033,516.64647433,352.03292987934,19.6718278753776,1,1,1
-76.21,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,78.3242,contextual_50_100km,63.21617419,722.11420619,483.058221434114,14.1345916202366,1,1,1
-76.16,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,73.4472,contextual_50_100km,63.63593739,758.44266539,506.35858179836,8.04589731037135,1,1,1
-76.11,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,68.6685,contextual_50_100km,63.97460013,859.68118413,570.989441589081,39.344718208603,1,1,1
-76.06,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,64.0102,contextual_50_100km,64.29310027,958.44308427,634.034914016762,2.79343674679318,1,1,1
-76.01,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,59.5005,contextual_50_100km,64.79639902,840.24647902,558.9040352723,15.9748695243955,1,1,1
-75.96,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,55.1759,contextual_50_100km,65.31811605,683.25875605,459.062596642011,21.9915202246276,1,1,1
-75.91,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,51.0834,contextual_50_100km,65.79150532,555.37923332,377.751025680374,21.3855655808774,1,1,1
-75.86,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,47.2833,local_0_50km,66.31337406,357.71818206,251.993077482605,20.5396652037442,1,1,1
-75.81,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,43.8516,local_0_50km,66.76225942,211.40925142,158.92961506477,7.11369952347062,1,1,1
-75.76,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,40.8813,local_0_50km,66.98216245,265.65884245,193.576597430592,17.3136955666308,1,1,1
-75.71,6.52,MEDE,contextual_por_proximidad_no_asociacion_directa,38.4794,local_0_50km,66.97849594,510.11575194,349.340323921874,33.9057011304354,1,1,1
