longitude,latitude,h_over_geoid,gravity_anomaly,gnss_site,gnss_latitude_deg,gnss_longitude_deg,gnss_height_m,gnss_east_m,gnss_north_m,gnss_up_m,gnss_sig_e_m,gnss_sig_n_m,gnss_sig_u_m,gnss_corr_en,gnss_corr_eu,gnss_corr_nu,gnss_ant_m,gnss_n_dias,gnss_fecha_ini,gnss_fecha_fin,dist_gnss_km
-76.46000000,6.52000000,457.20000000,61.14071320,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,103.68960000
-76.41000000,6.52000000,586.68000000,61.64636937,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,98.51920000
-76.36000000,6.52000000,654.84000000,62.15378558,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,93.38950000
-76.31000000,6.52000000,1080.44000000,62.54677786,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,88.30760000
-76.26000000,6.52000000,1470.24000000,62.93041033,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,83.28220000
-76.21000000,6.52000000,2135.12000000,63.21617419,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,78.32420000
-76.16000000,6.52000000,2251.48000000,63.63593739,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,73.44720000
-76.11000000,6.52000000,2578.44000000,63.97460013,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,68.66850000
-76.06000000,6.52000000,2897.44000000,64.29310027,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,64.01020000
-76.01000000,6.52000000,2512.80000000,64.79639902,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,59.50050000
-75.96000000,6.52000000,2002.40000000,65.31811605,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,55.17590000
-75.91000000,6.52000000,1586.48000000,65.79150532,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,51.08340000
-75.86000000,6.52000000,944.28000000,66.31337406,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,47.28330000
-75.81000000,6.52000000,468.72000000,66.76225942,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,43.85160000
-75.76000000,6.52000000,643.80000000,66.98216245,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,40.88130000
-75.71000000,6.52000000,1435.96000000,66.97849594,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,38.47940000
-75.66000000,6.52000000,2434.32000000,66.87935755,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,36.75740000
-75.61000000,6.52000000,2560.52000000,67.02618507,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,35.81360000
-75.56000000,6.52000000,2570.68000000,67.18050504,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,35.70980000
-75.51000000,6.52000000,2382.64000000,67.36868077,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,36.45300000
-75.46000000,6.52000000,2300.32000000,67.49277797,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,37.99360000
-75.41000000,6.52000000,2209.56000000,67.58868811,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,40.24020000
-75.36000000,6.52000000,2191.12000000,67.62952020,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,43.08240000
-75.31000000,6.52000000,2129.80000000,67.65211862,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,46.41100000
-75.26000000,6.52000000,1266.56000000,67.90492503,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,50.12910000
-75.21000000,6.52000000,1573.84000000,67.74082709,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,54.15660000
-75.16000000,6.52000000,1834.12000000,67.55862237,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,58.42960000
-75.11000000,6.52000000,1502.12000000,67.53653666,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,62.89790000
-75.06000000,6.52000000,1417.32000000,67.39902368,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,67.52290000
-75.01000000,6.52000000,1240.96000000,67.25673775,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,66.32270000
-74.96000000,6.52000000,1037.72000000,67.08810605,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,60.80500000
-74.91000000,6.52000000,890.56000000,66.86577456,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,55.28870000
-74.86000000,6.52000000,947.76000000,66.54171574,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,49.77400000
-74.81000000,6.52000000,989.88000000,66.18752299,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,44.26170000
-74.76000000,6.52000000,865.32000000,65.85156196,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,38.75260000
-74.71000000,6.52000000,810.16000000,65.45787594,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,33.24850000
-74.66000000,6.52000000,724.56000000,65.03841725,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,27.75220000
-74.61000000,6.52000000,564.36000000,64.60681293,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,22.26970000
-74.56000000,6.52000000,538.56000000,64.09795617,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,16.81430000
-74.51000000,6.52000000,285.80000000,63.62373527,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,11.42480000
-74.46000000,6.52000000,134.60000000,63.08277361,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,6.27400000
-74.41000000,6.52000000,104.40000000,62.47055854,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,3.03750000
-74.36000000,6.52000000,115.20000000,61.81242199,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,6.33390000
